bottle,site_name,constituent,isotope,voltage,carbon,sacrifice_time,sacrifice_day,replicate
MSC882BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T0,0,2
MSC883BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T0,0,3
MSC884BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T1,1,1
MSC885BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T1,1,2
MSC886BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T1,1,3
MSC887BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T2,7,1
MSC888BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T2,7,2
