OBJECTID,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,WarningMsg,HUCID,Edited,Shape_Length,Shape_Area,DRNAREA,OUTLETELEV,PRECIP,LFPLENGTH,ELEV,CSL10_85fm,BASINPERIM,I24H50Y,MINBELEV,BSLDEM30FT,ELEVMAX,OBJECTID_2,HydroID_2,DrainID_2,Name_2,Descript_2,HUCID_2,Latitude,Longitude,WarningMsg_2
66,,,H4,SS BP v1.6.0,1,,,,0,496980,3130793100,112,2045.28,58.2058,21.09,2330.79,14.775,94.13,7.4661,1983.03,15.9,4233.56,66,,,H4,SS BP v1.6.0,6010105,618270,951030,
67,,,B61,SS BP v1.6.0,1,,,,0,1477980,26087962500,936,1962.66,58.8874,92.45,2692.47,5.113,279.92,7.7986,1871.01,27.529,6373.35,67,,,B61,SS BP v1.6.0,6010105,687510,939030,
68,,,H2,SS BP v1.6.0,1,,,,0,1065180,15187653900,545,2039.89,67.2963,71.51,2695.33,10.207,201.74,8.9318,1983.03,27.322,5997.64,68,,,H2,SS BP v1.6.0,6010105,621180,948210,
69,,,H9,SS BP v1.6.0,1,,,,0,271260,1964722500,70.5,2067.85,63.0252,32.86,3070.71,42.712,51.38,8.6827,2067.59,37.846,5316.83,69,,,H9,SS BP v1.6.0,6010105,616560,936840,
70,,,B65,SS BP v1.6.0,1,,manual streamstats,,0,,,0.06,2054.6,38.3328,0.3,2158.25,569.758,1.17,4.9668,2054.6,18.078,2215.35,70,,,B65,SS BP v1.6.0,6010105,695550,934620,
71,,,H7,SS BP v1.6.0,1,,,,0,156360,670404600,24,2119.44,58.815,11.06,3014.53,125.73,29.61,7.9296,2119.12,40.496,5282.29,71,,,H7,SS BP v1.6.0,6010105,618000,922440,
72,,,H13,SS BP v1.6.0,1,,,,0,178080,540387900,19.4,1726.07,61.4788,12.84,2392.39,93.104,33.73,7.6039,1725.92,28.242,3702.7,72,,,H13,SS BP v1.6.0,3050105,580740,1000470,
73,,,H14,SS BP v1.6.0,1,,,,0,201180,428417100,15.4,2053.99,58.0511,13.41,2394.57,39.14,38.1,7.9717,2053.99,23.656,3375.84,73,,,H14,SS BP v1.6.0,6010105,610500,942270,
74,,,H1,SS BP v1.6.0,1,,,,0,784920,9062655300,325,2051.29,72.7099,65.46,2786.21,11.346,148.66,9.6525,2051.16,30.048,5997.64,74,,,H1,SS BP v1.6.0,6010105,599400,938490,
75,,,H8,SS BP v1.6.0,1,,,,0,219300,1149152400,41.2,2114.37,66.8815,28.52,3204.68,47.206,41.53,9.3392,2114.37,38.48,5316.83,75,,,H8,SS BP v1.6.0,6010105,615840,926130,
76,,,B64,SS BP v1.6.0,1,,,,0,10020,2208600,0.08,2000.12,38.9045,0.54,2105.58,346.517,1.9,5.1355,2000.12,14.015,2187.77,76,,,B64,SS BP v1.6.0,6010105,682350,941280,
77,,,H5,SS BP v1.6.0,1,,,,0,269940,1187470800,42.6,2074.99,56.8095,14.05,2441.68,22.974,51.12,7.2373,2073.47,18.526,4233.56,77,,,H5,SS BP v1.6.0,6010105,601500,973200,
78,,,B62,SS BP v1.6.0,1,,,,0,32340,30938400,1.11,2157.67,43.4703,2.03,2531.41,369.933,6.12,5.1705,2157.67,31.333,3313.95,78,,,B62,SS BP v1.6.0,6010105,689670,922260,
79,,,H3,SS BP v1.6.0,1,,,,0,158880,569449800,20.4,2085.38,66.2633,8.54,2378.8,26.11,30.09,8.1276,2085.21,20.315,3762.61,79,,,H3,SS BP v1.6.0,6010105,581280,967110,
80,,,H10,SS BP v1.6.0,1,,,,0,298260,2015808300,72.3,2050.4,62.7145,34.65,3046.72,40.995,56.49,8.6365,2050.26,37.037,5316.83,80,,,H10,SS BP v1.6.0,6010105,614700,943350,
81,,,H11,SS BP v1.6.0,1,,,,0,294960,1216575000,43.6,1711.85,72.8091,17.89,2535.6,35.443,55.86,8.6295,1711.85,27.874,3762.37,81,,,H11,SS BP v1.6.0,3050105,562110,988380,
82,,,H18,SS BP v1.6.0,1,,,,0,191940,662742900,23.8,2079.07,65.0113,10.77,2353.5,18.776,36.35,8.0496,2075.79,18.779,3762.61,82,,,H18,SS BP v1.6.0,6010105,591090,970560,
83,,,H24,SS BP v1.6.0,1,,,,0,72480,117316800,4.21,2076.88,67.839,3.67,2549.06,230.283,13.73,8.324,2075.62,29.27,3280.13,83,,,H24,SS BP v1.6.0,6010105,581760,928470,
84,,,H30,SS BP v1.6.0,1,,,,0,116460,229695300,8.24,2077.92,57.0204,6.51,2173.77,19.312,22.06,7.4648,2075.44,6.867,2429.25,84,,,H30,SS BP v1.6.0,6010105,592500,972240,
85,,,H36,SS BP v1.6.0,1,,manual streamstats,,0,,,0.04,2768.72,62.9127,0.4,2906.33,300.829,1.1,7.7309,2767.44,20.045,2981.03,85,,,H36,SS BP v1.6.0,6010105,587400,952350,
86,,,H15,SS BP v1.6.0,1,,,,0,36840,30118500,1.08,2124.53,62.6732,2.7,2229.18,76.388,6.98,7.6734,2124.36,9.837,2672.61,86,,,H15,SS BP v1.6.0,6010105,573210,983160,
87,,,H22,SS BP v1.6.0,1,,,,0,128940,401974200,14.4,2092.04,48.9145,8.21,2600.08,130.955,24.42,6.7431,2089.65,28.743,3831.92,87,,,H22,SS BP v1.6.0,6010105,629100,967020,
88,,,H28,SS BP v1.6.0,1,,,,0,71520,146205000,5.24,2067.11,58.2975,4.68,2357.64,164.516,13.55,7.5608,2062.61,21.835,3132.39,88,,,H28,SS BP v1.6.0,6010105,597870,942510,
89,,,H16,SS BP v1.6.0,1,,,,0,321060,2224800000,79.8,2060.72,47.5221,19.31,2609,26.587,60.81,6.4428,2059.92,25.381,4410.59,89,,,H16,SS BP v1.6.0,6010105,627360,957660,
90,,,H23,SS BP v1.6.0,1,,,,0,74880,149593500,5.37,2092.31,66.282,3.63,2423.84,127.308,14.18,8.2089,2091.58,25.371,3098.53,90,,,H23,SS BP v1.6.0,6010105,579210,940830,
91,,,H29,SS BP v1.6.0,1,,,,0,33360,17381700,0.62,2071.08,51.1962,2.19,2154.46,60.843,6.32,6.9417,2069.82,6.733,2240.49,91,,,H29,SS BP v1.6.0,6010105,614340,939930,
92,,,H35,SS BP v1.6.0,1,,manual streamstats,,0,,,3.93,2065.76,50.9293,4.35,2465.63,217.577,13.77,7.0326,2064.91,24.66,3440.67,92,,,H35,SS BP v1.6.0,6010105,615420,965820,
93,,,H34,SS BP v1.6.0,1,,,,0,50820,55372500,1.99,2084.9,48.8352,2.68,2395.38,279.212,9.62,6.8963,2084.9,27.292,3170.19,93,,,H34,SS BP v1.6.0,6010105,614820,961950,
94,,,LJ3,SS BP v1.6.0,1,,,,0,428760,2346432300,84.2,1196.79,49.7434,22.62,2273.28,74.067,81.2,7.9369,1196.67,37.358,4267.03,94,,,LJ3,SS BP v1.6.0,3050101,737700,1113000,
95,,,LJ2,SS BP v1.6.0,1,,,,0,505080,4867670700,175,1208.02,51.5539,27.93,2084.68,14.232,95.66,7.0083,1207.72,38.707,5659.13,95,,,LJ2,SS BP v1.6.0,3050101,726720,1100040,
96,,,LJ17,SS BP v1.6.0,1,,,,0,196140,662036400,23.7,1486.67,50.4989,12.32,2565.8,151.82,37.15,8.3088,1486.1,36.656,4267.03,96,,,LJ17,SS BP v1.6.0,3050101,773700,1114380,
97,,,H21,SS BP v1.6.0,1,,,,0,66480,119585700,4.29,2134.67,71.7122,4.14,2465.66,131.048,12.59,8.5921,2133.71,26.13,3762.61,97,,,H21,SS BP v1.6.0,6010105,565560,954810,
98,,,H27,SS BP v1.6.0,1,,,,0,53520,70259400,2.52,2065.27,52.7361,3.43,2221.39,70.829,10.14,7.1878,2061,16.733,2785.86,98,,,H27,SS BP v1.6.0,6010105,605790,947610,
99,,,H33,SS BP v1.6.0,1,,,,0,73980,127087200,4.56,2102.02,57.1543,3.69,2199.13,36.028,14.01,7.4818,2100.41,7.354,2429.25,99,,,H33,SS BP v1.6.0,6010105,589590,983940,
100,,,LJ1,SS BP v1.6.0,1,,,,0,502800,4968806400,178,1196.76,51.5418,31.46,2070.01,12.511,95.23,7.0209,1196.37,38.331,5659.13,100,,,LJ1,SS BP v1.6.0,3050101,731730,1107810,
101,,,H12,SS BP v1.6.0,1,,,,0,199020,719886600,25.8,2030.64,75.1098,11.09,2688.68,66.269,37.69,8.9089,2029.39,29.76,3762.37,101,,,H12,SS BP v1.6.0,3050105,547110,968730,
102,,,H19,SS BP v1.6.0,1,,,,0,250200,932988600,33.5,2010.02,74.3549,12.96,2618.97,54.642,47.39,8.7972,2008.29,28.908,3762.37,102,,,H19,SS BP v1.6.0,3050105,550620,972540,
103,,,H37,SS BP v1.6.0,1,,,,0,4560,827100,0.03,2850.3,63.0038,0.28,2916.09,347.583,0.86,7.7331,2850.3,16.974,2981.03,103,,,H37,SS BP v1.6.0,6010105,587430,952110,
104,,,H25,SS BP v1.6.0,1,,,,0,59520,60436800,2.17,2076.48,55.2582,3.38,2157.7,29.359,11.27,7.6875,2075.44,10.374,2449.36,104,,,H25,SS BP v1.6.0,6010105,585570,930510,
105,,,H31,SS BP v1.6.0,1,,,,0,50580,51575400,1.85,2093.54,57.8417,2.97,2262.12,198.334,9.58,7.588,2093.51,12.184,2799.92,105,,,H31,SS BP v1.6.0,6010105,586800,966660,
106,,,LJ12,SS BP v1.6.0,1,,,,0,6000,1325700,0.05,1346.15,47.6383,0.4,1493.22,662.79,1.14,7.734,1344.49,36.206,1714.07,106,,,LJ12,SS BP v1.6.0,3050101,755250,1106130,
107,,,H20,SS BP v1.6.0,1,,,,0,119220,385691400,13.8,2147.36,59.7701,6.83,2700.97,70.868,22.58,7.1314,2146.92,24.103,4233.56,107,,,H20,SS BP v1.6.0,6010105,618690,995340,
108,,,H26,SS BP v1.6.0,1,,,,0,56220,61497900,2.21,2078.55,55.8138,3.32,2240.62,67.969,10.65,7.4479,2077.79,15.745,2713.68,108,,,H26,SS BP v1.6.0,6010105,593700,966090,
109,,,H32,SS BP v1.6.0,1,,,,0,101580,210444300,7.55,2083.67,63.9214,7.29,2282.51,38.849,19.24,7.7364,2080.17,13.58,2970.18,109,,,H32,SS BP v1.6.0,6010105,583560,977160,
110,,,LJ5,SS BP v1.6.0,1,,,,0,494040,1868545800,67,1203.91,54.8492,41.87,3315.71,71.601,93.57,8.5448,1203.84,31.482,5870.5,110,,,LJ5,SS BP v1.6.0,3050101,757350,1142610,
111,,,LJ24,SS BP v1.6.0,1,,,,0,234300,993533400,35.6,1316.83,52.5534,17.45,1812.1,25.805,44.38,6.5626,1316.24,31.401,3462.74,111,,,LJ24,SS BP v1.6.0,3050101,703080,1074720,
112,,,LJ4,SS BP v1.6.0,1,,,,0,370500,3494072700,125,1244.91,51.4005,22.99,2136.38,18.151,70.17,6.823,1244.84,38.414,5659.13,112,,,LJ4,SS BP v1.6.0,3050101,716580,1087650,
113,,,LJ23,SS BP v1.6.0,1,,,,0,145440,201289500,7.22,1211.82,50.756,10,2147.5,152.321,27.55,7.8599,1211.82,26.063,3695.62,113,,,LJ23,SS BP v1.6.0,3050101,741570,1141200,
114,,,LJ19,SS BP v1.6.0,1,,,,0,181860,758465100,27.2,1387.11,51.0859,12.05,2394.52,183.03,34.44,7.6969,1387.11,42.247,4091.48,114,,,LJ19,SS BP v1.6.0,3050101,758100,1100040,
115,,,LL3,SS BP v1.6.0,1,,,,0,234000,1127913300,40.5,1481.79,58.6078,17.98,2744.92,72.106,44.32,6.7552,1481.79,37.534,4352.35,115,,,LL3,SS BP v1.6.0,3050105,636120,1020270,
116,,,LL9,SS BP v1.6.0,1,,,,0,84120,119168100,4.27,991.76,62.5425,5.61,1802.99,356.138,15.93,6.5629,991.76,41.618,3411.02,116,,,LL9,SS BP v1.6.0,3050105,637470,1050810,
117,,,LL7,SS BP v1.6.0,1,,,,0,25440,11337300,0.41,1015.35,58.2314,1.6,1120.05,82.56,4.82,6.7901,1012,17.936,1254.03,117,,,LL7,SS BP v1.6.0,3050105,623670,1050900,
118,,,LL5,SS BP v1.6.0,1,,,,0,384720,1898307000,68.1,989.76,61.3966,21.94,2654.73,80.559,72.86,6.8352,989.64,37.603,4411.97,118,,,LL5,SS BP v1.6.0,3050105,629280,1036590,
119,,,LL15,SS BP v1.6.0,1,,,,0,61140,91394100,3.28,1054.06,63.2905,4.33,1959.73,497.894,11.58,6.5662,1053.78,44.033,3411.02,119,,,LL15,SS BP v1.6.0,3050105,643440,1050630,
